,City,Country,Latitude,Longitude,Date,Wind_Speed,Pressure,Humidity,Temperature,Cloudiness
39,Bluff,NZ,-46.6,168.3333,1653147500,29.35,1003,87,50.27,100
40,Hamilton,US,39.1834,-84.5333,1653147501,16.11,1015,69,83.12,0
41,Jiaojiang,CN,28.6803,121.4428,1653147503,2.62,1012,93,68.0,58
42,Arlit,NE,18.7369,7.3853,1653147504,22.53,1007,13,99.19,41
43,Gouré,NE,13.9835,10.2704,1653147505,11.12,1007,9,102.02,85
44,Nikolskoye,RU,59.7035,30.7861,1653147507,11.32,1011,43,53.8,10
45,Khovd,MN,48.0056,91.6419,1653147508,2.95,1014,25,62.28,0
46,La Ronge,CA,55.1001,-105.2842,1653147511,10.36,1023,32,50.25,20
47,Norman Wells,CA,65.282,-126.8329,1653147512,16.11,1024,93,42.84,100
48,Puerto Ayora,EC,-0.7393,-90.3518,1653147455,5.99,1015,89,73.54,72
49,Rosarito,MX,32.3333,-117.0333,1653147514,9.51,1014,72,60.26,86
50,Cherëmukhovo,RU,60.3484,59.9851,1653147516,8.72,1002,86,37.42,100
51,Bambous Virieux,MU,-20.3428,57.7575,1653147517,12.66,1020,78,75.45,40
52,Hilo,US,19.7297,-155.09,1653147519,4.61,1017,85,72.14,100
53,Bengkulu,ID,-3.8004,102.2655,1653147521,2.3,1010,85,77.74,99
54,Lata,PT,40.1629,-8.3327,1653147522,5.59,1011,47,72.07,100
55,Tuktoyaktuk,CA,69.4541,-133.0374,1653147523,6.91,1029,80,28.4,75
56,Bandarbeyla,SO,9.4942,50.8122,1653147527,25.05,1006,82,80.89,91
57,Tongren,CN,27.7172,109.1853,1653147529,1.81,1010,86,66.58,100
58,Alamogordo,US,32.8995,-105.9603,1653147531,9.22,1016,32,73.15,0
59,Omboué,GA,-1.5746,9.2618,1653147532,9.55,1012,82,78.58,100
60,Kununurra,AU,-15.7667,128.7333,1653147533,2.3,1012,60,67.98,12
61,Dikson,RU,73.5069,80.5464,1653147535,8.95,1010,92,27.9,100
62,Vianópolis,BR,-16.7419,-48.5164,1653147536,7.02,1018,20,74.35,25
63,Chokurdakh,RU,70.6333,147.9167,1653147537,2.17,1014,98,32.27,100
64,Fortuna,US,40.5982,-124.1573,1653147539,3.44,1017,89,49.48,100
65,Arraial do Cabo,BR,-22.9661,-42.0278,1653147540,9.22,1024,64,73.26,40
66,Yuza,JP,39.0,139.9167,1653147541,3.71,1008,90,59.92,100
67,Mar del Plata,AR,-38.0023,-57.5575,1653147543,8.05,1019,55,63.95,0
68,Abu Dhabi,AE,24.4667,54.3667,1653147544,10.36,1001,61,89.49,0
69,Pevek,RU,69.7008,170.3133,1653147546,5.61,1021,88,29.91,100
70,Saint-Philippe,RE,-21.3585,55.7679,1653147547,12.91,1022,82,74.79,46
71,Vila,PT,42.0304,-8.1588,1653147548,4.97,1014,47,72.7,100
72,Ribeira Grande,PT,38.5167,-28.7,1653147550,6.91,1023,100,64.8,100
73,Seoul,KR,37.5683,126.9778,1653147492,8.05,1009,82,60.84,75
74,Saint-François,FR,46.4154,3.9054,1653147552,6.91,1018,51,81.84,0
75,Bethel,US,41.3712,-73.414,1653147553,8.05,1018,74,76.32,0
76,Laas,IT,46.6166,10.7002,1653147555,6.15,1018,36,77.72,58
77,Marawi,PH,7.9986,124.2928,1653147556,2.95,1010,92,69.89,93
78,Cape Town,ZA,-33.9258,18.4232,1653147448,9.22,1024,65,61.47,20
79,Kumul,CN,42.8,93.45,1653147558,11.54,1001,18,80.92,8
80,Castro,BR,-24.7911,-50.0119,1653147560,2.35,1022,39,63.54,3
81,Flinders,AU,-34.5833,150.8552,1653147561,4.0,1024,93,56.84,100
82,Jijiga,ET,9.35,42.8,1653147564,0.87,1012,38,73.44,72
83,Strezhevoy,RU,60.7333,77.5889,1653147565,6.64,1007,77,46.06,58
84,Tazovsky,RU,67.4667,78.7,1653147566,2.42,1006,83,35.55,98
85,Butaritari,KI,3.0707,172.7902,1653147568,10.85,1009,80,80.42,50
86,Balezino,RU,57.9796,53.0106,1653147569,7.78,1003,83,38.84,100
87,Qaanaaq,GL,77.484,-69.3632,1653147570,3.85,1011,87,19.04,100
88,Port Elizabeth,ZA,-33.918,25.5701,1653147540,4.61,1025,79,61.2,0
89,Klaksvík,FO,62.2266,-6.589,1653147573,15.77,1004,87,50.92,95
90,Segovia,ES,41.1667,-4.0,1653147574,8.63,1015,30,85.42,100
91,Saskylakh,RU,71.9167,114.0833,1653147575,6.49,1009,98,27.73,100
92,Dwārka,IN,22.2394,68.9678,1653147577,24.05,1002,85,82.62,4
93,Cuauhtémoc,MX,28.4167,-106.8667,1653147578,7.27,1015,11,67.51,0
94,Glinka,RU,54.6404,32.8781,1653147579,10.78,1004,94,45.54,100
95,Coari,BR,-4.085,-63.1414,1653147581,2.84,1016,53,85.98,33
96,Nemenčinė,LT,54.85,25.4833,1653147582,0.72,1000,94,57.49,100
97,Velikiy Ustyug,RU,60.7644,46.3106,1653147583,7.83,1011,84,35.94,100
98,Christchurch,NZ,-43.5333,172.6333,1653147442,4.61,1003,81,39.33,64
99,Tabuk,PH,17.4189,121.4443,1653147586,1.7,1009,91,74.86,90
100,Miraflores,MX,19.2167,-98.8083,1653147587,2.71,1015,23,72.1,1
101,Port Hardy,CA,50.6996,-127.4199,1653147589,5.75,1025,100,44.78,100
102,Mackenzie,CA,55.2999,-123.1698,1653147590,2.3,1027,56,39.42,0
103,Kavaratti,IN,10.5669,72.642,1653147591,17.31,1009,79,83.32,100
104,Longyearbyen,SJ,78.2186,15.6401,1653147592,9.22,1015,65,39.04,75
105,Kavieng,PG,-2.5744,150.7967,1653147594,11.9,1008,73,82.42,92
106,Zatoka,UA,46.0725,30.4654,1653147595,19.1,1009,73,65.91,21
107,Barrow,US,71.2906,-156.7887,1653147597,11.5,1033,86,23.02,100
108,George Town,MY,5.4112,100.3354,1653147598,3.44,1008,87,82.22,20
109,At-Bashi,KG,41.1702,75.8106,1653147599,3.8,1015,72,49.26,100
110,Saint-Pierre,RE,-21.3393,55.4781,1653147601,6.91,1018,73,74.16,0
111,San Patricio,US,28.017,-97.5169,1653147602,20.2,1009,41,88.72,9
112,Yerofey Pavlovich,RU,53.9667,121.9667,1653147604,2.24,1009,59,44.82,79
113,Mehamn,NO,71.0357,27.8492,1653147605,9.04,1014,91,40.91,100
114,General Pico,AR,-35.6566,-63.7568,1653147607,6.24,1021,27,65.89,9
115,Revelstoke,CA,50.9832,-118.2023,1653147608,4.61,1025,65,44.62,75
116,Hobart,AU,-42.8794,147.3294,1653147486,6.91,1029,92,40.57,100
117,Zhigansk,RU,66.7697,123.3711,1653147610,6.76,1010,84,37.45,96
118,Kidal,ML,18.4411,1.4078,1653147612,6.58,1006,10,103.71,62
119,Forbes,AU,-33.3833,148.0167,1653147613,6.73,1028,87,55.92,98
120,Kapaa,US,22.0752,-159.319,1653147614,4.61,1018,99,71.35,40
121,Englehart,CA,47.8169,-79.8664,1653147622,5.75,1009,63,61.36,0
122,Ponta do Sol,PT,32.6667,-17.1,1653147624,1.7,1021,76,72.28,74
123,Waipawa,NZ,-41.4122,175.5153,1653147626,4.68,1007,85,47.12,99
124,Hithadhoo,MV,-0.6,73.0833,1653147627,8.41,1011,68,83.79,92
125,Souillac,MU,-20.5167,57.5167,1653147628,12.66,1020,78,75.58,40
126,Ouahigouya,BF,13.5828,-2.4216,1653147631,5.44,1008,31,92.89,93
127,Torbat-e Jām,IR,35.244,60.6225,1653147632,30.38,1016,57,58.33,36
128,Bereket,TM,39.2446,55.5154,1653147634,16.11,1020,39,67.44,43
129,Severo-Kuril'sk,RU,50.6789,156.125,1653147635,2.19,1018,98,41.25,100
130,Port Alfred,ZA,-33.5906,26.891,1653147636,1.01,1023,86,60.19,78
131,Sinnamary,GF,5.3833,-52.95,1653147638,13.06,1016,87,79.34,85
132,Ferrol,ES,43.4832,-8.2369,1653147639,8.48,1012,68,73.08,100
133,Saint George,US,37.1041,-113.5841,1653147640,1.99,1016,18,62.87,2
134,Mataura,NZ,-46.1927,168.8643,1653147642,8.95,1004,97,43.63,100
135,Huarmey,PE,-10.0681,-78.1522,1653147643,8.05,1016,78,69.73,49
136,Fare,PF,-16.7,-151.0167,1653147644,10.18,1014,72,79.88,9
137,Avarua,CK,-21.2078,-159.775,1653147646,3.44,1013,83,73.45,40
138,Khatanga,RU,71.9667,102.5,1653147647,7.72,1004,94,37.42,100
139,Charter Township of Clinton,US,42.587,-82.9199,1653147648,4.61,1013,89,66.49,100
140,Kiama,AU,-34.6833,150.8667,1653147650,3.0,1030,95,56.35,100
141,Clyde River,CA,70.4692,-68.5914,1653147651,8.05,1009,86,23.23,100
142,Rio Grande,BR,-32.035,-52.0986,1653147652,6.82,1022,57,62.94,80
143,Provideniya,RU,64.3833,-173.3,1653147654,12.03,1021,67,41.85,83
144,Belomorsk,RU,64.5232,34.7668,1653147655,8.05,1019,54,37.96,9
145,Sibolga,ID,1.7427,98.7792,1653147656,2.98,1011,90,77.31,75
146,Aloha,US,45.4943,-122.8671,1653147658,5.99,1021,78,51.3,0
147,Liepāja,LV,56.5419,21.0367,1653147659,5.75,1003,93,48.18,100
148,Antalaha,MG,-14.9003,50.2788,1653147660,6.78,1017,92,72.79,62
149,Campbellsville,US,37.3434,-85.3419,1653147662,5.99,1017,52,82.27,3
150,Shibetsu,JP,43.659,145.132,1653147664,5.86,1011,97,50.63,100
151,Vardø,NO,70.3705,31.1107,1653147665,23.02,1015,81,39.18,100
152,Ancud,CL,-41.8697,-73.8203,1653147667,22.84,1014,92,53.87,100
153,Pināhat,IN,26.8839,78.3781,1653147668,16.24,996,31,89.53,90
154,Rawson,AR,-43.3002,-65.1023,1653147450,13.53,1012,42,59.54,91
155,Sabang,ID,5.8933,95.3214,1653147670,21.5,1009,77,83.84,92
156,New Norfolk,AU,-42.7826,147.0587,1653147672,2.59,1032,86,38.35,5
157,Monterey,US,36.2505,-121.2516,1653147673,2.21,1013,21,68.18,4
158,Zhezkazgan,KZ,47.8043,67.7144,1653147675,14.16,1004,61,58.28,58
159,Botad,IN,22.1667,71.6667,1653147676,20.56,1002,49,88.66,0
160,Sandwick,GB,60.0,-1.25,1653147677,12.66,1011,76,53.42,20
161,Xining,CN,36.6167,101.7667,1653147437,1.1,1009,56,55.02,55
162,Karema,TZ,-6.8205,30.4389,1653147680,2.42,1011,69,75.6,100
163,Yakeshi,CN,49.2833,120.7333,1653147681,4.0,1008,47,51.42,23
164,Gavrilov Posad,RU,56.5597,40.1175,1653147683,6.76,1009,63,47.43,59
165,Maumere,ID,-8.6199,122.2111,1653147684,1.3,1011,77,78.64,32
166,Cikupa,ID,-6.2364,106.5083,1653147685,5.17,1010,92,78.31,100
167,Kaka,TM,37.3482,59.6143,1653147687,13.18,1019,50,65.05,100
168,Coxim,BR,-18.5067,-54.76,1653147688,3.87,1019,23,80.55,46
169,Carnarvon,AU,-24.8667,113.6333,1653147689,4.07,1012,61,71.74,50
170,Broome,US,42.2506,-75.833,1653147691,11.5,1000,61,83.23,20
171,Tynda,RU,55.1667,124.7167,1653147692,3.31,1012,88,36.16,100
172,Grafton,US,42.207,-71.6856,1653147693,6.91,1015,85,74.1,20
173,Vryburg,ZA,-26.9566,24.7284,1653147576,5.86,1017,71,49.48,80
174,Betlitsa,RU,54.0095,33.9588,1653147696,9.93,1004,97,45.05,100
175,Thompson,CA,55.7435,-97.8558,1653147672,13.8,1017,38,39.36,20
176,Brownsville,US,25.9018,-97.4975,1653147444,21.85,1008,74,87.12,0
177,Karwar,IN,14.8,74.1333,1653147701,5.01,1008,85,78.76,85
178,St. George's,GD,12.0564,-61.7485,1653147703,23.02,1018,70,85.68,20
179,Teseney,ER,15.11,36.6575,1653147704,6.91,1005,16,101.25,82
180,Altay,CN,47.8667,88.1167,1653147706,8.3,1008,29,67.33,57
181,Dingle,PH,10.9995,122.6711,1653147707,3.02,1008,85,78.33,72
182,Vila Velha,BR,-20.3297,-40.2925,1653147709,13.8,1022,57,76.95,20
183,Leningradskiy,RU,69.3833,178.4167,1653147711,9.15,1025,98,30.22,97
184,Tena,EC,-0.9833,-77.8167,1653147712,3.58,1019,66,71.76,72
185,Srednekolymsk,RU,67.45,153.6833,1653147713,4.36,1012,52,49.6,89
186,Pisco,PE,-13.7,-76.2167,1653147715,8.05,1017,82,64.45,20
187,Hunchun,CN,42.8675,130.3581,1653147716,3.74,1004,67,54.41,40
188,Balsas,BR,-7.5325,-46.0356,1653147461,4.88,1015,43,87.66,58
189,Itarema,BR,-2.9248,-39.9167,1653147718,8.01,1014,65,85.05,19
190,Havre-St-Pierre,CA,50.2334,-63.5986,1653147720,8.05,1012,76,52.16,100
191,Departamento de Maldonado,UY,-34.6667,-54.9167,1653147721,9.15,1020,57,63.79,98
192,Husavik,IS,66.0449,-17.3389,1653147722,11.23,1002,89,45.91,100
193,Sobolevo,RU,54.4299,31.8996,1653147724,10.07,1003,97,45.79,100
194,Adrar,MR,20.5022,-10.0711,1653147725,4.65,1007,6,106.84,1
195,Seymchan,RU,62.8833,152.4333,1653147726,3.58,1016,85,39.42,94
196,Hlatikulu,SZ,-26.9667,31.3167,1653147728,3.36,1018,96,54.01,100
197,Polewali,ID,-3.4324,119.3435,1653147729,2.84,1010,89,77.18,99
198,Kenai,US,60.5544,-151.2583,1653147733,8.05,1023,70,45.03,0
199,NEDJO,ET,9.5046,35.5019,1653147734,3.2,1015,94,60.76,100
200,Krasnyy Kut,RU,50.95,46.9667,1653147736,4.61,1010,52,51.35,67
201,Kozhva,RU,65.1073,57.0459,1653147738,11.81,1011,72,38.41,100
202,Zaraza,VE,9.3503,-65.3245,1653147739,9.24,1015,29,94.91,11
203,Nantucket,US,41.2835,-70.0995,1653147688,10.36,1017,94,60.96,100
204,Nouadhibou,MR,20.931,-17.0347,1653147741,25.3,1013,87,66.38,4
205,Mahon,ES,39.8885,4.2658,1653147743,6.91,1020,50,79.36,0
206,Mangochi,MW,-14.4782,35.2645,1653147744,4.68,1014,70,73.72,82
207,Laguna,US,38.421,-121.4238,1653147745,4.61,1012,36,65.73,0
208,Sorong,ID,-0.8833,131.25,1653147626,4.45,1008,81,79.99,86
209,Whitianga,NZ,-36.8333,175.7,1653147748,13.98,1013,75,58.6,13
210,Sittwe,MM,20.15,92.9,1653147750,5.59,1002,80,84.25,44
211,Guangyuan,CN,32.442,105.823,1653147751,1.86,1012,89,63.93,100
212,Kiryat Gat,IL,31.61,34.7642,1653147752,9.01,1011,40,78.3,100
213,Mount Gambier,AU,-37.8333,140.7667,1653147754,5.57,1031,95,46.04,11
214,Porto-Novo,BJ,6.4965,2.6036,1653147755,8.41,1011,67,75.02,98
215,Wenling,CN,28.3669,121.36,1653147756,5.08,1012,91,62.74,66
216,Leshukonskoye,RU,64.8989,45.7622,1653147758,8.43,1016,57,37.83,100
217,San Vicente,AR,-26.6167,-54.1333,1653147594,4.5,1022,40,65.17,9
218,Mozarlândia,BR,-14.7447,-50.5706,1653147760,2.68,1017,16,84.31,47
219,Morden,CA,49.1919,-98.1014,1653147683,10.36,1021,81,39.83,66
220,Airai,TL,-8.9266,125.4092,1653147763,3.91,1013,89,58.68,26
221,Oudtshoorn,ZA,-33.5907,22.2014,1653147488,3.15,1024,56,57.56,1
222,Avera,US,33.194,-82.5271,1653147767,8.14,1021,54,82.11,16
223,Cayenne,GF,4.9333,-52.3333,1653147769,3.44,1016,1,83.08,75
224,Bitung,ID,1.4451,125.1824,1653147770,9.66,1009,86,77.85,98
225,Orsha,BY,54.5153,30.4053,1653147772,9.78,1002,97,48.45,100
226,Cidreira,BR,-30.1811,-50.2056,1653147773,5.21,1023,55,63.23,0
227,Gualaquiza,EC,-3.4,-78.55,1653147776,2.55,1019,66,74.82,50
228,The Valley,AI,18.217,-63.0578,1653147778,11.5,1022,65,84.63,20
229,Aksu,CN,41.1231,80.2644,1653147779,13.2,1003,26,77.23,100
230,Biak,ID,-0.9131,122.8766,1653147780,3.18,1010,79,75.69,100
231,Atambua,ID,-9.1061,124.8925,1653147782,5.5,1011,84,71.92,11
232,Pokhara,NP,28.2333,83.9833,1653147783,5.14,1002,81,68.25,65
233,Nemuro,JP,43.3236,145.575,1653147785,9.93,1012,99,48.58,100
234,Wilmington,US,34.2257,-77.9447,1653147670,8.05,1022,63,87.17,0
235,Gunjur,GM,13.2019,-16.7339,1653147787,6.91,1013,55,87.87,0
236,Tual,ID,-5.6667,132.75,1653147788,15.77,1009,76,82.87,59
237,Hirado,JP,33.3597,129.5531,1653147790,4.7,1008,79,60.39,0
238,Kropotkin,RU,45.4375,40.5756,1653147791,19.17,1014,64,58.59,93
239,Ketchikan,US,55.3422,-131.6461,1653147793,6.91,1026,81,46.87,0
240,Bixby,US,35.942,-95.8833,1653147501,12.66,1014,89,57.09,100
241,Makokou,GA,0.5738,12.8642,1653147796,1.3,1012,94,73.94,100
242,Nhulunbuy,AU,-12.2333,136.7667,1653147797,9.22,1011,78,79.41,0
243,Saint Paul Harbor,US,57.79,-152.4072,1653147443,23.02,1018,81,45.91,100
244,Hofn,IS,64.2539,-15.2082,1653147800,10.4,1000,82,49.78,96
245,Takoradze,GH,4.8845,-1.7554,1653147802,12.73,1012,85,79.2,100
246,Praia da Vitória,PT,38.7333,-27.0667,1653147803,0.89,1023,88,70.05,75
247,Mokhsogollokh,RU,61.4681,128.9203,1653147804,1.99,1009,93,38.53,71
248,Boyolangu,ID,-8.1181,111.8935,1653147806,2.46,1011,92,75.4,100
249,Mitsamiouli,KM,-11.3847,43.2844,1653147807,2.84,1015,68,80.35,78
250,Valdivia,CL,-39.8142,-73.2459,1653147808,6.11,1021,90,55.49,100
251,Buala,SB,-8.145,159.5921,1653147810,3.65,1010,81,79.29,81
252,Geraldton,AU,-28.7667,114.6,1653147759,6.91,1011,88,57.61,0
253,Constitución,CL,-35.3333,-72.4167,1653147704,6.78,1023,53,58.89,43
254,Narsaq,GL,60.9167,-46.05,1653147813,7.72,1015,54,52.02,17
255,Yar-Sale,RU,66.8333,70.8333,1653147814,15.88,1011,79,32.29,68
256,Sterling,US,39.0062,-77.4286,1653147712,5.99,1019,53,88.23,75
257,São Filipe,CV,14.8961,-24.4956,1653147817,12.17,1017,78,72.95,71
258,Alekseyevka,RU,50.6309,38.6903,1653147818,12.91,1006,90,49.71,100
259,Riyadh,SA,24.6877,46.7219,1653147765,10.74,1006,7,107.74,0
260,Gerāsh,IR,27.6652,54.1371,1653147821,7.58,1002,9,100.54,0
261,Port-Gentil,GA,-0.7193,8.7815,1653147823,8.05,1012,78,80.56,40
262,Qasigiannguit,GL,68.8193,-51.1922,1653147824,6.8,1011,84,34.05,100
263,Noumea,NC,-22.2763,166.4572,1653147826,16.89,1014,99,77.0,100
264,Aykhal,RU,66.0,111.5,1653147827,5.39,1007,80,39.52,100
265,Esperance,AU,-33.8667,121.9,1653147828,12.21,1016,66,63.84,82
266,Sisimiut,GL,66.9395,-53.6735,1653147837,7.27,1011,67,38.3,82
267,El Alto,PE,-4.2714,-81.2147,1653147839,8.32,1015,75,69.46,53
268,Juneau,US,58.3019,-134.4197,1653147593,0.0,1026,90,51.98,0
269,Morondava,MG,-20.2833,44.2833,1653147842,7.49,1016,72,77.88,39
270,The Pas,CA,53.8251,-101.2541,1653147843,8.05,1020,60,41.02,0
271,Collie,AU,-33.3667,116.15,1653147844,5.21,1011,76,55.08,0
272,Kalabo,ZM,-14.97,22.6814,1653147847,5.21,1014,34,68.41,22
273,Ormara,PK,25.2088,64.6357,1653147848,18.57,1000,90,82.18,1
274,Cockburn Town,TC,21.4612,-71.1419,1653147716,11.5,1023,62,85.96,75
275,High Level,CA,58.5169,-117.136,1653147616,2.3,1023,40,51.91,0
276,Ponoka,CA,52.6768,-113.5815,1653147852,5.39,1027,46,46.38,98
277,Bariloche,AR,-41.1456,-71.3082,1653147625,29.93,1014,62,49.75,40
278,Gwadar,PK,25.1216,62.3254,1653147854,9.66,1000,88,83.17,0
279,Pocerski Pričinović,RS,44.7222,19.7072,1653147856,8.97,1015,52,84.51,83
280,Mīzan Teferī,ET,6.9833,35.5833,1653147857,1.57,1014,92,64.83,98
281,Price,US,39.5994,-110.8107,1653147859,17.27,1020,33,43.86,0
282,Tsaratanana,MG,-16.7833,47.65,1653147843,9.17,1018,70,70.9,15
283,College,US,64.8569,-147.8028,1653147863,5.75,1022,57,50.59,40
284,Kitaibaraki,JP,36.7833,140.75,1653147864,0.98,1008,89,62.15,100
285,Galesong,ID,-5.3166,119.3661,1653147866,6.6,1009,82,77.02,66
286,Kiunga,PG,-6.1219,141.2906,1653147867,1.97,1008,99,72.25,80
287,Faya,SA,18.3851,42.4509,1653147869,4.41,1013,26,79.32,62
288,Kozluk,TR,38.1938,41.4885,1653147871,1.01,1014,43,75.45,26
289,Lüderitz,NA,-26.6481,15.1594,1653147872,25.66,1020,54,61.56,21
290,Adré,TD,13.4667,22.2,1653147873,4.32,1007,12,96.87,93
291,Giohar,SO,2.7809,45.5005,1653147875,18.92,1011,67,79.7,99
292,Tarakan,ID,3.3,117.6333,1653147878,6.91,1010,83,81.9,40
293,Philadelphia,US,39.9523,-75.1638,1653147764,5.01,1016,62,87.46,0
294,Lazarev,RU,52.225,141.5131,1653147881,6.67,1006,99,33.1,100
295,Sioux Lookout,CA,50.1001,-91.917,1653147799,5.75,1016,65,37.47,75
296,Mahébourg,MU,-20.4081,57.7,1653147883,12.66,1020,78,75.49,40
297,Kandrian,PG,-6.2167,149.55,1653147884,3.51,1009,91,76.53,34
298,Beyneu,KZ,45.3167,55.2,1653147886,20.02,1013,33,58.5,7
299,Deer Lake,CA,49.1667,-57.4316,1653147887,12.66,1020,30,66.06,75
300,Kaitangata,NZ,-46.2817,169.8464,1653147888,12.88,1003,92,44.89,99
301,Ust-Nera,RU,64.5667,143.2,1653147890,2.71,1014,89,32.72,90
302,Glendive,US,47.1053,-104.7125,1653147892,12.66,1021,70,40.39,100
303,Ilulissat,GL,69.2167,-51.1,1653147894,1.14,1012,80,33.82,75
304,Chui,UY,-33.6971,-53.4616,1653147895,8.23,1021,57,61.45,94
305,Nanortalik,GL,60.1432,-45.2371,1653147896,7.11,1016,80,39.88,16
306,Staraya Russa,RU,57.9944,31.3608,1653147897,9.1,1007,46,57.51,30
307,Ust-Tsilma,RU,65.441,52.1498,1653147899,9.35,1014,69,35.28,100
308,Kuvandyk,RU,51.4781,57.3552,1653147900,13.65,1001,97,39.43,100
309,Tilichiki,RU,60.4667,166.1,1653147902,2.13,1023,91,33.33,99
310,San Juan de Abajo,MX,20.8167,-105.1833,1653147903,4.07,1013,41,85.78,1
311,Bowen,AU,-20.0167,148.2333,1653147904,10.76,1014,80,70.09,92
312,Zhigalovo,RU,54.8097,105.1578,1653147906,8.75,1011,79,54.66,75
313,Kumbo,CM,6.2,10.6667,1653147907,1.81,1013,76,68.76,100
314,Hasaki,JP,35.7333,140.8333,1653147908,8.84,1007,88,59.4,100
315,Hay River,CA,60.8156,-115.7999,1653147910,3.44,1021,43,48.18,75
316,Koratla,IN,18.8167,78.7167,1653147912,7.34,999,26,95.59,67
317,Buraidah,SA,26.326,43.975,1653147913,10.04,1008,9,102.65,0
318,Bukama,CD,-9.2,25.85,1653147915,3.8,1010,50,80.91,98
319,Coquimbo,CL,-29.9533,-71.3436,1653147916,12.66,1019,94,56.93,40
320,Mossamedes,AO,-15.1961,12.1522,1653147917,13.8,1011,53,77.63,0
321,Inhambane,MZ,-23.865,35.3833,1653147721,13.8,1014,100,69.78,75
322,Kungurtug,RU,50.5994,97.5228,1653147921,2.01,1017,57,49.75,16
323,Bathsheba,BB,13.2167,-59.5167,1653147922,23.02,1018,66,86.61,75
324,Clearlake,US,38.9582,-122.6264,1653147924,2.59,1012,29,68.58,7
325,Sakakah,SA,29.9697,40.2064,1653147925,22.82,1008,13,94.57,0
326,Lavrentiya,RU,65.5833,-171.0,1653147926,7.31,1022,82,34.59,98
327,Tiksi,RU,71.6872,128.8694,1653147928,3.89,1013,90,29.19,96
328,Vostok,RU,46.4856,135.8833,1653147929,1.95,1000,98,49.75,100
329,Burns Lake,CA,54.2331,-125.7533,1653147906,1.1,1026,66,35.02,4
330,Llangefni,GB,53.2556,-4.3106,1653147931,20.71,1018,80,58.21,20
331,Loukhi,RU,66.0764,33.0381,1653147933,10.31,1018,55,44.42,99
332,Lompoc,US,34.6391,-120.4579,1653147666,4.61,1014,76,53.37,0
